Country,Year,Series,Value
Italy,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5375
Italy,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5481
Italy,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6239
Italy,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6509
Italy,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6009
Italy,2013,Net imports [Imports - Exports - Bunkers] (petajoules),4965
Italy,2014,Net imports [Imports - Exports - Bunkers] (petajoules),4628
Italy,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4888
Italy,1990,Changes in stocks (petajoules),80
Italy,1995,Changes in stocks (petajoules),3
Italy,2000,Changes in stocks (petajoules),190
Italy,2005,Changes in stocks (petajoules),-70
Italy,2010,Changes in stocks (petajoules),69
Italy,2013,Changes in stocks (petajoules),-23
Italy,2014,Changes in stocks (petajoules),-1
Italy,2015,Changes in stocks (petajoules),-5
Italy,1990,Total supply (petajoules),6366
Italy,1995,Total supply (petajoules),6714
Italy,2000,Total supply (petajoules),7230
Italy,2005,Total supply (petajoules),7847
Italy,2010,Total supply (petajoules),7324
Italy,2013,Total supply (petajoules),6530
Italy,2014,Total supply (petajoules),6168
Italy,2015,Total supply (petajoules),6402
Italy,1990,Supply per capita (gigajoules),112
Italy,1995,Supply per capita (gigajoules),118
Italy,2000,Supply per capita (gigajoules),127
Italy,2005,Supply per capita (gigajoules),134
Italy,2010,Supply per capita (gigajoules),123
Italy,2013,Supply per capita (gigajoules),109
Italy,2014,Supply per capita (gigajoules),103
Italy,2015,Supply per capita (gigajoules),107
Jamaica,1990,Primary energy production (petajoules),13
Jamaica,1995,Primary energy production (petajoules),9
Jamaica,2000,Primary energy production (petajoules),11
Jamaica,2005,Primary energy production (petajoules),15
Jamaica,2010,Primary energy production (petajoules),6
Jamaica,2013,Primary energy production (petajoules),7
Jamaica,2014,Primary energy production (petajoules),8
Jamaica,2015,Primary energy production (petajoules),8
Jamaica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),97
Jamaica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),118
Jamaica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),144
Jamaica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),139
Jamaica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),95
Jamaica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),104
Jamaica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),96
Jamaica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),101
Jamaica,1990,Changes in stocks (petajoules),-2
Jamaica,1995,Changes in stocks (petajoules),-3
Jamaica,2000,Changes in stocks (petajoules),7
Jamaica,2005,Changes in stocks (petajoules),1
Jamaica,2010,Changes in stocks (petajoules),-2
Jamaica,2013,Changes in stocks (petajoules),-1
Jamaica,2014,Changes in stocks (petajoules),1
Jamaica,2015,Changes in stocks (petajoules),1
Jamaica,1990,Total supply (petajoules),113
Jamaica,1995,Total supply (petajoules),130
Jamaica,2000,Total supply (petajoules),148
Jamaica,2005,Total supply (petajoules),151
Jamaica,2010,Total supply (petajoules),103
Jamaica,2013,Total supply (petajoules),113
Jamaica,2014,Total supply (petajoules),104
Jamaica,2015,Total supply (petajoules),108
Jamaica,1990,Supply per capita (gigajoules),48
Jamaica,1995,Supply per capita (gigajoules),53
Jamaica,2000,Supply per capita (gigajoules),57
Jamaica,2005,Supply per capita (gigajoules),56
Jamaica,2010,Supply per capita (gigajoules),38
Jamaica,2013,Supply per capita (gigajoules),41
Jamaica,2014,Supply per capita (gigajoules),37
Jamaica,2015,Supply per capita (gigajoules),39
Japan,1990,Primary energy production (petajoules),3121
Japan,1995,Primary energy production (petajoules),4088
Japan,2000,Primary energy production (petajoules),4384
Japan,2005,Primary energy production (petajoules),4175
Japan,2010,Primary energy production (petajoules),4118
Japan,2013,Primary energy production (petajoules),1161
Japan,2014,Primary energy production (petajoules),1099
Japan,2015,Primary energy production (petajoules),1269
Japan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15341
Japan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),16662
Japan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),17453
Japan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),17700
Japan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),16739
Japan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),17800
Japan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),17198
Japan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),16665
Japan,1990,Changes in stocks (petajoules),147
Japan,1995,Changes in stocks (petajoules),55
Japan,2000,Changes in stocks (petajoules),166
Japan,2005,Changes in stocks (petajoules),100
Japan,2010,Changes in stocks (petajoules),-6
Japan,2013,Changes in stocks (petajoules),-21
Japan,2014,Changes in stocks (petajoules),-121
Japan,2015,Changes in stocks (petajoules),-50
Japan,1990,Total supply (petajoules),18314
Japan,1995,Total supply (petajoules),20697
Japan,2000,Total supply (petajoules),21671
Japan,2005,Total supply (petajoules),21774
Japan,2010,Total supply (petajoules),20862
Japan,2013,Total supply (petajoules),18981
Japan,2014,Total supply (petajoules),18418
Japan,2015,Total supply (petajoules),17984
Japan,1990,Supply per capita (gigajoules),150
Japan,1995,Supply per capita (gigajoules),166
Japan,2000,Supply per capita (gigajoules),172
Japan,2005,Supply per capita (gigajoules),172
Japan,2010,Supply per capita (gigajoules),164
Japan,2013,Supply per capita (gigajoules),149
Japan,2014,Supply per capita (gigajoules),145
Japan,2015,Supply per capita (gigajoules),142
Jersey,2005,Primary energy production (petajoules),0
Jersey,2010,Primary energy production (petajoules),0
Jersey,2013,Primary energy production (petajoules),1
Jersey,2014,Primary energy production (petajoules),1
Jersey,2015,Primary energy production (petajoules),1
Jersey,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Jersey,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Jersey,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey,1995,Total supply (petajoules),1
Jersey,2000,Total supply (petajoules),1
Jersey,2005,Total supply (petajoules),3
Jersey,2010,Total supply (petajoules),3
Jersey,2013,Total supply (petajoules),3
Jersey,2014,Total supply (petajoules),3
Jersey,2015,Total supply (petajoules),3
Jersey,1995,Supply per capita (gigajoules),9
Jersey,2000,Supply per capita (gigajoules),17
Jersey,2005,Supply per capita (gigajoules),28
Jersey,2010,Supply per capita (gigajoules),28
Jersey,2013,Supply per capita (gigajoules),27
Jersey,2014,Supply per capita (gigajoules),27
Jersey,2015,Supply per capita (gigajoules),29
Jordan,1990,Primary energy production (petajoules),6
Jordan,1995,Primary energy production (petajoules),10
Jordan,2000,Primary energy production (petajoules),10
Jordan,2005,Primary energy production (petajoules),10
Jordan,2010,Primary energy production (petajoules),9
Jordan,2013,Primary energy production (petajoules),7
Jordan,2014,Primary energy production (petajoules),7
Jordan,2015,Primary energy production (petajoules),8
Jordan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),136
Jordan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),160
Jordan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),190
Jordan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),285
Jordan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300
Jordan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),311
Jordan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),349
Jordan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),359
Jordan,1990,Changes in stocks (petajoules),4
Jordan,1995,Changes in stocks (petajoules),-2
Jordan,2000,Changes in stocks (petajoules),-5
Jordan,2005,Changes in stocks (petajoules),7
Jordan,2010,Changes in stocks (petajoules),5
Jordan,2013,Changes in stocks (petajoules),-10
Jordan,2014,Changes in stocks (petajoules),5
Jordan,2015,Changes in stocks (petajoules),5
Jordan,1990,Total supply (petajoules),138
Jordan,1995,Total supply (petajoules),172
Jordan,2000,Total supply (petajoules),205
Jordan,2005,Total supply (petajoules),289
Jordan,2010,Total supply (petajoules),303
Jordan,2013,Total supply (petajoules),328
Jordan,2014,Total supply (petajoules),352
Jordan,2015,Total supply (petajoules),362
Jordan,1990,Supply per capita (gigajoules),40
Jordan,1995,Supply per capita (gigajoules),39
Jordan,2000,Supply per capita (gigajoules),42
Jordan,2005,Supply per capita (gigajoules),54
Jordan,2010,Supply per capita (gigajoules),46
Jordan,2013,Supply per capita (gigajoules),45
Jordan,2014,Supply per capita (gigajoules),47
Jordan,2015,Supply per capita (gigajoules),48
Kazakhstan,1995,Primary energy production (petajoules),2663
Kazakhstan,2000,Primary energy production (petajoules),3367
Kazakhstan,2005,Primary energy production (petajoules),5131
Kazakhstan,2010,Primary energy production (petajoules),6770
Kazakhstan,2013,Primary energy production (petajoules),7198
Kazakhstan,2014,Primary energy production (petajoules),7092
Kazakhstan,2015,Primary energy production (petajoules),7338
Kazakhstan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-477
Kazakhstan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1819
Kazakhstan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2771
Kazakhstan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3318
Kazakhstan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3568
Kazakhstan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3722
Kazakhstan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-4120
Kazakhstan,2000,Changes in stocks (petajoules),-12
Kazakhstan,2005,Changes in stocks (petajoules),8
Kazakhstan,2010,Changes in stocks (petajoules),88
Kazakhstan,2013,Changes in stocks (petajoules),80
Kazakhstan,2014,Changes in stocks (petajoules),16
Kazakhstan,2015,Changes in stocks (petajoules),-41
Kazakhstan,1995,Total supply (petajoules),2185
Kazakhstan,2000,Total supply (petajoules),1560
Kazakhstan,2005,Total supply (petajoules),2352
Kazakhstan,2010,Total supply (petajoules),3363
Kazakhstan,2013,Total supply (petajoules),3550
Kazakhstan,2014,Total supply (petajoules),3354
Kazakhstan,2015,Total supply (petajoules),3258
Kazakhstan,1995,Supply per capita (gigajoules),137
Kazakhstan,2000,Supply per capita (gigajoules),104
Kazakhstan,2005,Supply per capita (gigajoules),155
Kazakhstan,2010,Supply per capita (gigajoules),206
Kazakhstan,2013,Supply per capita (gigajoules),208
Kazakhstan,2014,Supply per capita (gigajoules),193
Kazakhstan,2015,Supply per capita (gigajoules),185
Kenya,1990,Primary energy production (petajoules),217
Kenya,1995,Primary energy production (petajoules),239
Kenya,2000,Primary energy production (petajoules),248
Kenya,2005,Primary energy production (petajoules),338
Kenya,2010,Primary energy production (petajoules),650
Kenya,2013,Primary energy production (petajoules),719
Kenya,2014,Primary energy production (petajoules),750
Kenya,2015,Primary energy production (petajoules),761
Kenya,1990,Net imports [Imports - Exports - Bunkers] (petajoules),71
Kenya,1995,Net imports [Imports - Exports - Bunkers] (petajoules),98
Kenya,2000,Net imports [Imports - Exports - Bunkers] (petajoules),141
Kenya,2005,Net imports [Imports - Exports - Bunkers] (petajoules),109
Kenya,2010,Net imports [Imports - Exports - Bunkers] (petajoules),137
Kenya,2013,Net imports [Imports - Exports - Bunkers] (petajoules),149
Kenya,2014,Net imports [Imports - Exports - Bunkers] (petajoules),159
Kenya,2015,Net imports [Imports - Exports - Bunkers] (petajoules),189
Kenya,1990,Changes in stocks (petajoules),0
Kenya,2005,Changes in stocks (petajoules),4
Kenya,2010,Changes in stocks (petajoules),-5
Kenya,2013,Changes in stocks (petajoules),-1
Kenya,2014,Changes in stocks (petajoules),0
Kenya,2015,Changes in stocks (petajoules),0
Kenya,1990,Total supply (petajoules),289
Kenya,1995,Total supply (petajoules),337
Kenya,2000,Total supply (petajoules),388
Kenya,2005,Total supply (petajoules),443
Kenya,2010,Total supply (petajoules),793
Kenya,2013,Total supply (petajoules),868
Kenya,2014,Total supply (petajoules),909
Kenya,2015,Total supply (petajoules),949
Kenya,1990,Supply per capita (gigajoules),12
Kenya,1995,Supply per capita (gigajoules),12
Kenya,2000,Supply per capita (gigajoules),12
Kenya,2005,Supply per capita (gigajoules),12
Kenya,2010,Supply per capita (gigajoules),20
Kenya,2013,Supply per capita (gigajoules),20
Kenya,2014,Supply per capita (gigajoules),20
Kenya,2015,Supply per capita (gigajoules),21
Kiribati,1990,Primary energy production (petajoules),0
Kiribati,1995,Primary energy production (petajoules),0
Kiribati,2000,Primary energy production (petajoules),0
Kiribati,2005,Primary energy production (petajoules),0
Kiribati,2010,Primary energy production (petajoules),0
Kiribati,2013,Primary energy production (petajoules),0
Kiribati,2014,Primary energy production (petajoules),0
Kiribati,2015,Primary energy production (petajoules),0
Kiribati,1990,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati,1995,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati,2000,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati,2013,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati,1990,Total supply (petajoules),0
Kiribati,1995,Total supply (petajoules),0
Kiribati,2000,Total supply (petajoules),0
Kiribati,2005,Total supply (petajoules),1
Kiribati,2010,Total supply (petajoules),1
Kiribati,2013,Total supply (petajoules),1
Kiribati,2014,Total supply (petajoules),1
Kiribati,2015,Total supply (petajoules),1
Kiribati,1990,Supply per capita (gigajoules),5
Kiribati,1995,Supply per capita (gigajoules),5
Kiribati,2000,Supply per capita (gigajoules),6
Kiribati,2005,Supply per capita (gigajoules),9
Kiribati,2010,Supply per capita (gigajoules),8
Kiribati,2013,Supply per capita (gigajoules),7
Kiribati,2014,Supply per capita (gigajoules),7
Kiribati,2015,Supply per capita (gigajoules),8
Kuwait,1990,Primary energy production (petajoules),2799
Kuwait,1995,Primary energy production (petajoules),4802
Kuwait,2000,Primary energy production (petajoules),4748
Kuwait,2005,Primary energy production (petajoules),6080
Kuwait,2010,Primary energy production (petajoules),5557
Kuwait,2013,Primary energy production (petajoules),7107
Kuwait,2014,Primary energy production (petajoules),6943
Kuwait,2015,Primary energy production (petajoules),7003
Kuwait,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2090
Kuwait,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3968
Kuwait,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-3941
Kuwait,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-4915
Kuwait,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-4229
Kuwait,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-5710
Kuwait,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-5626
Kuwait,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-5531
Kuwait,1990,Changes in stocks (petajoules),142
Kuwait,1995,Changes in stocks (petajoules),-1
Kuwait,2000,Changes in stocks (petajoules),-17
Kuwait,2005,Changes in stocks (petajoules),31
Kuwait,2010,Changes in stocks (petajoules),-22
Kuwait,2013,Changes in stocks (petajoules),-21
Kuwait,2014,Changes in stocks (petajoules),-22
Kuwait,2015,Changes in stocks (petajoules),14
Kuwait,1990,Total supply (petajoules),566
Kuwait,1995,Total supply (petajoules),835
Kuwait,2000,Total supply (petajoules),824
Kuwait,2005,Total supply (petajoules),1133
Kuwait,2010,Total supply (petajoules),1350
Kuwait,2013,Total supply (petajoules),1418
Kuwait,2014,Total supply (petajoules),1339
Kuwait,2015,Total supply (petajoules),1458
Kuwait,1990,Supply per capita (gigajoules),271
Kuwait,1995,Supply per capita (gigajoules),513
Kuwait,2000,Supply per capita (gigajoules),424
Kuwait,2005,Supply per capita (gigajoules),500
Kuwait,2010,Supply per capita (gigajoules),441
Kuwait,2013,Supply per capita (gigajoules),394
Kuwait,2014,Supply per capita (gigajoules),357
Kuwait,2015,Supply per capita (gigajoules),375
Kyrgyzstan,1995,Primary energy production (petajoules),53
Kyrgyzstan,2000,Primary energy production (petajoules),60
Kyrgyzstan,2005,Primary energy production (petajoules),61
Kyrgyzstan,2010,Primary energy production (petajoules),53
Kyrgyzstan,2013,Primary energy production (petajoules),74
Kyrgyzstan,2014,Primary energy production (petajoules),80
Kyrgyzstan,2015,Primary energy production (petajoules),75
Kyrgyzstan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),51
Kyrgyzstan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),38
Kyrgyzstan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),53
Kyrgyzstan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),63
Kyrgyzstan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),96
Kyrgyzstan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),93
Kyrgyzstan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),103
Kyrgyzstan,1995,Changes in stocks (petajoules),3
Kyrgyzstan,2000,Changes in stocks (petajoules),-2
Kyrgyzstan,2005,Changes in stocks (petajoules),0
Kyrgyzstan,2010,Changes in stocks (petajoules),1
Kyrgyzstan,2013,Changes in stocks (petajoules),2
Kyrgyzstan,2014,Changes in stocks (petajoules),2
Kyrgyzstan,2015,Changes in stocks (petajoules),12
Kyrgyzstan,1995,Total supply (petajoules),101
Kyrgyzstan,2000,Total supply (petajoules),101
Kyrgyzstan,2005,Total supply (petajoules),114
Kyrgyzstan,2010,Total supply (petajoules),115
Kyrgyzstan,2013,Total supply (petajoules),167
Kyrgyzstan,2014,Total supply (petajoules),171
Kyrgyzstan,2015,Total supply (petajoules),167
Kyrgyzstan,1995,Supply per capita (gigajoules),22
Kyrgyzstan,2000,Supply per capita (gigajoules),20
Kyrgyzstan,2005,Supply per capita (gigajoules),23
Kyrgyzstan,2010,Supply per capita (gigajoules),21
Kyrgyzstan,2013,Supply per capita (gigajoules),29
Kyrgyzstan,2014,Supply per capita (gigajoules),29
Kyrgyzstan,2015,Supply per capita (gigajoules),28
Lao People's Dem. Rep.,1990,Primary energy production (petajoules),54
Lao People's Dem. Rep.,1995,Primary energy production (petajoules),57
Lao People's Dem. Rep.,2000,Primary energy production (petajoules),70
Lao People's Dem. Rep.,2005,Primary energy production (petajoules),73
Lao People's Dem. Rep.,2010,Primary energy production (petajoules),117
Lao People's Dem. Rep.,2013,Primary energy production (petajoules),141
Lao People's Dem. Rep.,2014,Primary energy production (petajoules),141
Lao People's Dem. Rep.,2015,Primary energy production (petajoules),185
Lao People's Dem. Rep.,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Lao People's Dem. Rep.,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Lao People's Dem. Rep.,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1
Lao People's Dem. Rep.,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
Lao People's Dem. Rep.,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Lao People's Dem. Rep.,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-10
Lao People's Dem. Rep.,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-8
Lao People's Dem. Rep.,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Lao People's Dem. Rep.,1990,Total supply (petajoules),60
Lao People's Dem. Rep.,1995,Total supply (petajoules),63
Lao People's Dem. Rep.,2000,Total supply (petajoules),70
Lao People's Dem. Rep.,2005,Total supply (petajoules),76
Lao People's Dem. Rep.,2010,Total supply (petajoules),119
Lao People's Dem. Rep.,2013,Total supply (petajoules),130
Lao People's Dem. Rep.,2014,Total supply (petajoules),133
Lao People's Dem. Rep.,2015,Total supply (petajoules),187
Lao People's Dem. Rep.,1990,Supply per capita (gigajoules),14
Lao People's Dem. Rep.,1995,Supply per capita (gigajoules),13
Lao People's Dem. Rep.,2000,Supply per capita (gigajoules),13
Lao People's Dem. Rep.,2005,Supply per capita (gigajoules),13
Lao People's Dem. Rep.,2010,Supply per capita (gigajoules),19
Lao People's Dem. Rep.,2013,Supply per capita (gigajoules),20
Lao People's Dem. Rep.,2014,Supply per capita (gigajoules),20
Lao People's Dem. Rep.,2015,Supply per capita (gigajoules),28
Latvia,1995,Primary energy production (petajoules),60
Latvia,2000,Primary energy production (petajoules),59
Latvia,2005,Primary energy production (petajoules),78
Latvia,2010,Primary energy production (petajoules),95
Latvia,2013,Primary energy production (petajoules),98
Latvia,2014,Primary energy production (petajoules),108
Latvia,2015,Primary energy production (petajoules),98
Latvia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),138
Latvia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),94
Latvia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),116
Latvia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),78
Latvia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),100
Latvia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),70
Latvia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),84
Latvia,1995,Changes in stocks (petajoules),1
Latvia,2000,Changes in stocks (petajoules),-4
Latvia,2005,Changes in stocks (petajoules),5
Latvia,2010,Changes in stocks (petajoules),-29
Latvia,2013,Changes in stocks (petajoules),2
Latvia,2014,Changes in stocks (petajoules),-17
Latvia,2015,Changes in stocks (petajoules),3
Latvia,1995,Total supply (petajoules),197
Latvia,2000,Total supply (petajoules),157
Latvia,2005,Total supply (petajoules),190
Latvia,2010,Total supply (petajoules),203
Latvia,2013,Total supply (petajoules),196
Latvia,2014,Total supply (petajoules),196
Latvia,2015,Total supply (petajoules),179
Latvia,1995,Supply per capita (gigajoules),79
Latvia,2000,Supply per capita (gigajoules),66
Latvia,2005,Supply per capita (gigajoules),82
Latvia,2010,Supply per capita (gigajoules),97
Latvia,2013,Supply per capita (gigajoules),98
Latvia,2014,Supply per capita (gigajoules),99
Latvia,2015,Supply per capita (gigajoules),91
Lebanon,1990,Primary energy production (petajoules),5
Lebanon,1995,Primary energy production (petajoules),8
Lebanon,2000,Primary energy production (petajoules),7
Lebanon,2005,Primary energy production (petajoules),10
Lebanon,2010,Primary energy production (petajoules),9
Lebanon,2013,Primary energy production (petajoules),10
Lebanon,2014,Primary energy production (petajoules),7
Lebanon,2015,Primary energy production (petajoules),8
Lebanon,1990,Net imports [Imports - Exports - Bunkers] (petajoules),108
Lebanon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),166
Lebanon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),198
Lebanon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),197
Lebanon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),253
Lebanon,2013,Net imports [Imports - Exports - Bunkers] (petajoules),279
Lebanon,2014,Net imports [Imports - Exports - Bunkers] (petajoules),300
Lebanon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),305
Lebanon,2000,Changes in stocks (petajoules),-1
Lebanon,1990,Total supply (petajoules),113
Lebanon,1995,Total supply (petajoules),173
Lebanon,2000,Total supply (petajoules),207
Lebanon,2005,Total supply (petajoules),206
Lebanon,2010,Total supply (petajoules),262
Lebanon,2013,Total supply (petajoules),289
Lebanon,2014,Total supply (petajoules),306
Lebanon,2015,Total supply (petajoules),312
Lebanon,1990,Supply per capita (gigajoules),38
Lebanon,1995,Supply per capita (gigajoules),50
Lebanon,2000,Supply per capita (gigajoules),55
Lebanon,2005,Supply per capita (gigajoules),51
Lebanon,2010,Supply per capita (gigajoules),60
Lebanon,2013,Supply per capita (gigajoules),55
Lebanon,2014,Supply per capita (gigajoules),55
Lebanon,2015,Supply per capita (gigajoules),53
Lesotho,1990,Primary energy production (petajoules),19
Lesotho,1995,Primary energy production (petajoules),22
Lesotho,2000,Primary energy production (petajoules),28
Lesotho,2005,Primary energy production (petajoules),25
Lesotho,2010,Primary energy production (petajoules),27
Lesotho,2013,Primary energy production (petajoules),31
Lesotho,2014,Primary energy production (petajoules),31
Lesotho,2015,Primary energy production (petajoules),31
Lesotho,1990,Net imports [Imports - Exports - Bunkers] (petajoules),17
Lesotho,1995,Net imports [Imports - Exports - Bunkers] (petajoules),19
Lesotho,2000,Net imports [Imports - Exports - Bunkers] (petajoules),20
Lesotho,2005,Net imports [Imports - Exports - Bunkers] (petajoules),22
Lesotho,2010,Net imports [Imports - Exports - Bunkers] (petajoules),25
Lesotho,2013,Net imports [Imports - Exports - Bunkers] (petajoules),27
Lesotho,2014,Net imports [Imports - Exports - Bunkers] (petajoules),28
Lesotho,2015,Net imports [Imports - Exports - Bunkers] (petajoules),28
Lesotho,1990,Total supply (petajoules),36
Lesotho,1995,Total supply (petajoules),41
Lesotho,2000,Total supply (petajoules),48
Lesotho,2005,Total supply (petajoules),47
Lesotho,2010,Total supply (petajoules),52
Lesotho,2013,Total supply (petajoules),58
Lesotho,2014,Total supply (petajoules),59
Lesotho,2015,Total supply (petajoules),59
Lesotho,1990,Supply per capita (gigajoules),22
Lesotho,1995,Supply per capita (gigajoules),23
Lesotho,2000,Supply per capita (gigajoules),24
Lesotho,2005,Supply per capita (gigajoules),23
Lesotho,2010,Supply per capita (gigajoules),26
Lesotho,2013,Supply per capita (gigajoules),28
Lesotho,2014,Supply per capita (gigajoules),28
Lesotho,2015,Supply per capita (gigajoules),27
Liberia,1990,Primary energy production (petajoules),32
Liberia,1995,Primary energy production (petajoules),25
Liberia,2000,Primary energy production (petajoules),43
Liberia,2005,Primary energy production (petajoules),53
Liberia,2010,Primary energy production (petajoules),64
Liberia,2013,Primary energy production (petajoules),71
Liberia,2014,Primary energy production (petajoules),73
Liberia,2015,Primary energy production (petajoules),76
Liberia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7
Liberia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Liberia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6
Liberia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),9
Liberia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),11
Liberia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),12
Liberia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),16
Liberia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),16
Liberia,1990,Total supply (petajoules),38
Liberia,1995,Total supply (petajoules),31
Liberia,2000,Total supply (petajoules),49
Liberia,2005,Total supply (petajoules),62
Liberia,2010,Total supply (petajoules),75
Liberia,2013,Total supply (petajoules),83
Liberia,2014,Total supply (petajoules),89
Liberia,2015,Total supply (petajoules),92
Liberia,1990,Supply per capita (gigajoules),18
Liberia,1995,Supply per capita (gigajoules),15
Liberia,2000,Supply per capita (gigajoules),17
Liberia,2005,Supply per capita (gigajoules),19
Liberia,2010,Supply per capita (gigajoules),19
Liberia,2013,Supply per capita (gigajoules),19
Liberia,2014,Supply per capita (gigajoules),20
Liberia,2015,Supply per capita (gigajoules),20
Libya,1990,Primary energy production (petajoules),3020
Libya,1995,Primary energy production (petajoules),3190
Libya,2000,Primary energy production (petajoules),3117
Libya,2005,Primary energy production (petajoules),4062
Libya,2010,Primary energy production (petajoules),4294
Libya,2013,Primary energy production (petajoules),2635
Libya,2014,Primary energy production (petajoules),1505
Libya,2015,Primary energy production (petajoules),1496
Libya,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2676
Libya,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-2538
