Column1,Country,Year,Series,Value
India2015,India,2015,Changes in stocks (petajoules),48
India1990,India,1990,Total supply (petajoules),10370
India1995,India,1995,Total supply (petajoules),13035
India2000,India,2000,Total supply (petajoules),16135
India2005,India,2005,Total supply (petajoules),22809
India2010,India,2010,Total supply (petajoules),28903
India2013,India,2013,Total supply (petajoules),33195
India2014,India,2014,Total supply (petajoules),35391
India2015,India,2015,Total supply (petajoules),36697
India1990,India,1990,Supply per capita (gigajoules),12
India1995,India,1995,Supply per capita (gigajoules),14
India2000,India,2000,Supply per capita (gigajoules),15
India2005,India,2005,Supply per capita (gigajoules),20
India2010,India,2010,Supply per capita (gigajoules),23
India2013,India,2013,Supply per capita (gigajoules),26
India2014,India,2014,Supply per capita (gigajoules),27
India2015,India,2015,Supply per capita (gigajoules),28
Indonesia1990,Indonesia,1990,Primary energy production (petajoules),6735
Indonesia1995,Indonesia,1995,Primary energy production (petajoules),8320
Indonesia2000,Indonesia,2000,Primary energy production (petajoules),8129
Indonesia2005,Indonesia,2005,Primary energy production (petajoules),11351
Indonesia2010,Indonesia,2010,Primary energy production (petajoules),16854
Indonesia2013,Indonesia,2013,Primary energy production (petajoules),19088
Indonesia2014,Indonesia,2014,Primary energy production (petajoules),18457
Indonesia2015,Indonesia,2015,Primary energy production (petajoules),17926
Indonesia1990,Indonesia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2753
Indonesia1995,Indonesia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3634
Indonesia2000,Indonesia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-3577
Indonesia2005,Indonesia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-4243
Indonesia2010,Indonesia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-8530
Indonesia2013,Indonesia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-10758
Indonesia2014,Indonesia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-10263
Indonesia2015,Indonesia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-8523
Indonesia1990,Indonesia,1990,Changes in stocks (petajoules),223
Indonesia1995,Indonesia,1995,Changes in stocks (petajoules),100
Indonesia2000,Indonesia,2000,Changes in stocks (petajoules),-417
Indonesia2005,Indonesia,2005,Changes in stocks (petajoules),21
Indonesia2010,Indonesia,2010,Changes in stocks (petajoules),2
Indonesia2013,Indonesia,2013,Changes in stocks (petajoules),62
Indonesia2014,Indonesia,2014,Changes in stocks (petajoules),282
Indonesia2015,Indonesia,2015,Changes in stocks (petajoules),-48
Indonesia1990,Indonesia,1990,Total supply (petajoules),3759
Indonesia1995,Indonesia,1995,Total supply (petajoules),4587
Indonesia2000,Indonesia,2000,Total supply (petajoules),4970
Indonesia2005,Indonesia,2005,Total supply (petajoules),7087
Indonesia2010,Indonesia,2010,Total supply (petajoules),8322
Indonesia2013,Indonesia,2013,Total supply (petajoules),8267
Indonesia2014,Indonesia,2014,Total supply (petajoules),7912
Indonesia2015,Indonesia,2015,Total supply (petajoules),9452
Indonesia1990,Indonesia,1990,Supply per capita (gigajoules),20
Indonesia1995,Indonesia,1995,Supply per capita (gigajoules),23
Indonesia2000,Indonesia,2000,Supply per capita (gigajoules),23
Indonesia2005,Indonesia,2005,Supply per capita (gigajoules),31
Indonesia2010,Indonesia,2010,Supply per capita (gigajoules),34
Indonesia2013,Indonesia,2013,Supply per capita (gigajoules),33
Indonesia2014,Indonesia,2014,Supply per capita (gigajoules),31
Indonesia2015,Indonesia,2015,Supply per capita (gigajoules),37
Iran (Islamic Republic of)1990,Iran (Islamic Republic of),1990,Primary energy production (petajoules),7454
Iran (Islamic Republic of)1995,Iran (Islamic Republic of),1995,Primary energy production (petajoules),9302
Iran (Islamic Republic of)2000,Iran (Islamic Republic of),2000,Primary energy production (petajoules),11121
Iran (Islamic Republic of)2005,Iran (Islamic Republic of),2005,Primary energy production (petajoules),13006
Iran (Islamic Republic of)2010,Iran (Islamic Republic of),2010,Primary energy production (petajoules),14283
Iran (Islamic Republic of)2013,Iran (Islamic Republic of),2013,Primary energy production (petajoules),12540
Iran (Islamic Republic of)2014,Iran (Islamic Republic of),2014,Primary energy production (petajoules),13368
Iran (Islamic Republic of)2015,Iran (Islamic Republic of),2015,Primary energy production (petajoules),13637
Iran (Islamic Republic of)1990,Iran (Islamic Republic of),1990,Net imports [Imports - Exports - Bunkers] (petajoules),-4634
Iran (Islamic Republic of)1995,Iran (Islamic Republic of),1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5415
Iran (Islamic Republic of)2000,Iran (Islamic Republic of),2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5787
Iran (Islamic Republic of)2005,Iran (Islamic Republic of),2005,Net imports [Imports - Exports - Bunkers] (petajoules),-5682
Iran (Islamic Republic of)2010,Iran (Islamic Republic of),2010,Net imports [Imports - Exports - Bunkers] (petajoules),-5634
Iran (Islamic Republic of)2013,Iran (Islamic Republic of),2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3369
Iran (Islamic Republic of)2014,Iran (Islamic Republic of),2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3414
Iran (Islamic Republic of)2015,Iran (Islamic Republic of),2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3640
Iran (Islamic Republic of)1990,Iran (Islamic Republic of),1990,Changes in stocks (petajoules),0
Iran (Islamic Republic of)1995,Iran (Islamic Republic of),1995,Changes in stocks (petajoules),0
Iran (Islamic Republic of)2000,Iran (Islamic Republic of),2000,Changes in stocks (petajoules),-52
Iran (Islamic Republic of)2005,Iran (Islamic Republic of),2005,Changes in stocks (petajoules),103
Iran (Islamic Republic of)2010,Iran (Islamic Republic of),2010,Changes in stocks (petajoules),69
Iran (Islamic Republic of)2013,Iran (Islamic Republic of),2013,Changes in stocks (petajoules),-30
Iran (Islamic Republic of)2014,Iran (Islamic Republic of),2014,Changes in stocks (petajoules),-32
Iran (Islamic Republic of)2015,Iran (Islamic Republic of),2015,Changes in stocks (petajoules),7
Iran (Islamic Republic of)1990,Iran (Islamic Republic of),1990,Total supply (petajoules),2819
Iran (Islamic Republic of)1995,Iran (Islamic Republic of),1995,Total supply (petajoules),3887
Iran (Islamic Republic of)2000,Iran (Islamic Republic of),2000,Total supply (petajoules),5386
Iran (Islamic Republic of)2005,Iran (Islamic Republic of),2005,Total supply (petajoules),7221
Iran (Islamic Republic of)2010,Iran (Islamic Republic of),2010,Total supply (petajoules),8579
Iran (Islamic Republic of)2013,Iran (Islamic Republic of),2013,Total supply (petajoules),9201
Iran (Islamic Republic of)2014,Iran (Islamic Republic of),2014,Total supply (petajoules),9986
Iran (Islamic Republic of)2015,Iran (Islamic Republic of),2015,Total supply (petajoules),9989
Iran (Islamic Republic of)1990,Iran (Islamic Republic of),1990,Supply per capita (gigajoules),51
Iran (Islamic Republic of)1995,Iran (Islamic Republic of),1995,Supply per capita (gigajoules),65
Iran (Islamic Republic of)2000,Iran (Islamic Republic of),2000,Supply per capita (gigajoules),82
Iran (Islamic Republic of)2005,Iran (Islamic Republic of),2005,Supply per capita (gigajoules),104
Iran (Islamic Republic of)2010,Iran (Islamic Republic of),2010,Supply per capita (gigajoules),116
Iran (Islamic Republic of)2013,Iran (Islamic Republic of),2013,Supply per capita (gigajoules),119
Iran (Islamic Republic of)2014,Iran (Islamic Republic of),2014,Supply per capita (gigajoules),128
Iran (Islamic Republic of)2015,Iran (Islamic Republic of),2015,Supply per capita (gigajoules),126
Iraq1990,Iraq,1990,Primary energy production (petajoules),4411
Iraq1995,Iraq,1995,Primary energy production (petajoules),1265
Iraq2000,Iraq,2000,Primary energy production (petajoules),5482
Iraq2005,Iraq,2005,Primary energy production (petajoules),4147
Iraq2010,Iraq,2010,Primary energy production (petajoules),5274
Iraq2013,Iraq,2013,Primary energy production (petajoules),6514
Iraq2014,Iraq,2014,Primary energy production (petajoules),6772
Iraq2015,Iraq,2015,Primary energy production (petajoules),7565
Iraq1990,Iraq,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3656
Iraq1995,Iraq,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-193
Iraq2000,Iraq,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-4487
Iraq2005,Iraq,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2656
Iraq2010,Iraq,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3835
Iraq2013,Iraq,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-4443
Iraq2014,Iraq,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-4629
Iraq2015,Iraq,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-5719
Iraq1990,Iraq,1990,Changes in stocks (petajoules),169
Iraq1995,Iraq,1995,Changes in stocks (petajoules),0
Iraq2000,Iraq,2000,Changes in stocks (petajoules),0
Iraq2005,Iraq,2005,Changes in stocks (petajoules),3
Iraq2010,Iraq,2010,Changes in stocks (petajoules),1
Iraq2013,Iraq,2013,Changes in stocks (petajoules),19
Iraq2014,Iraq,2014,Changes in stocks (petajoules),87
Iraq2015,Iraq,2015,Changes in stocks (petajoules),-152
Iraq1990,Iraq,1990,Total supply (petajoules),586
Iraq1995,Iraq,1995,Total supply (petajoules),1072
Iraq2000,Iraq,2000,Total supply (petajoules),995
Iraq2005,Iraq,2005,Total supply (petajoules),1488
Iraq2010,Iraq,2010,Total supply (petajoules),1437
Iraq2013,Iraq,2013,Total supply (petajoules),2051
Iraq2014,Iraq,2014,Total supply (petajoules),2055
Iraq2015,Iraq,2015,Total supply (petajoules),1997
Iraq1990,Iraq,1990,Supply per capita (gigajoules),34
Iraq1995,Iraq,1995,Supply per capita (gigajoules),53
Iraq2000,Iraq,2000,Supply per capita (gigajoules),42
Iraq2005,Iraq,2005,Supply per capita (gigajoules),54
Iraq2010,Iraq,2010,Supply per capita (gigajoules),47
Iraq2013,Iraq,2013,Supply per capita (gigajoules),60
Iraq2014,Iraq,2014,Supply per capita (gigajoules),58
Iraq2015,Iraq,2015,Supply per capita (gigajoules),55
Ireland1990,Ireland,1990,Primary energy production (petajoules),145
Ireland1995,Ireland,1995,Primary energy production (petajoules),172
Ireland2000,Ireland,2000,Primary energy production (petajoules),90
Ireland2005,Ireland,2005,Primary energy production (petajoules),69
Ireland2010,Ireland,2010,Primary energy production (petajoules),77
Ireland2013,Ireland,2013,Primary energy production (petajoules),94
Ireland2014,Ireland,2014,Primary energy production (petajoules),84
Ireland2015,Ireland,2015,Primary energy production (petajoules),80
Ireland1990,Ireland,1990,Net imports [Imports - Exports - Bunkers] (petajoules),281
Ireland1995,Ireland,1995,Net imports [Imports - Exports - Bunkers] (petajoules),303
Ireland2000,Ireland,2000,Net imports [Imports - Exports - Bunkers] (petajoules),482
Ireland2005,Ireland,2005,Net imports [Imports - Exports - Bunkers] (petajoules),544
Ireland2010,Ireland,2010,Net imports [Imports - Exports - Bunkers] (petajoules),522
Ireland2013,Ireland,2013,Net imports [Imports - Exports - Bunkers] (petajoules),486
Ireland2014,Ireland,2014,Net imports [Imports - Exports - Bunkers] (petajoules),454
Ireland2015,Ireland,2015,Net imports [Imports - Exports - Bunkers] (petajoules),489
Ireland1990,Ireland,1990,Changes in stocks (petajoules),10
Ireland1995,Ireland,1995,Changes in stocks (petajoules),28
Ireland2000,Ireland,2000,Changes in stocks (petajoules),-2
Ireland2005,Ireland,2005,Changes in stocks (petajoules),2
Ireland2010,Ireland,2010,Changes in stocks (petajoules),-8
Ireland2013,Ireland,2013,Changes in stocks (petajoules),34
Ireland2014,Ireland,2014,Changes in stocks (petajoules),3
Ireland2015,Ireland,2015,Changes in stocks (petajoules),14
Ireland1990,Ireland,1990,Total supply (petajoules),416
Ireland1995,Ireland,1995,Total supply (petajoules),446
Ireland2000,Ireland,2000,Total supply (petajoules),573
Ireland2005,Ireland,2005,Total supply (petajoules),610
Ireland2010,Ireland,2010,Total supply (petajoules),608
Ireland2013,Ireland,2013,Total supply (petajoules),546
Ireland2014,Ireland,2014,Total supply (petajoules),534
Ireland2015,Ireland,2015,Total supply (petajoules),555
Ireland1990,Ireland,1990,Supply per capita (gigajoules),118
Ireland1995,Ireland,1995,Supply per capita (gigajoules),124
Ireland2000,Ireland,2000,Supply per capita (gigajoules),151
Ireland2005,Ireland,2005,Supply per capita (gigajoules),147
Ireland2010,Ireland,2010,Supply per capita (gigajoules),132
Ireland2013,Ireland,2013,Supply per capita (gigajoules),117
Ireland2014,Ireland,2014,Supply per capita (gigajoules),114
Ireland2015,Ireland,2015,Supply per capita (gigajoules),118
Isle of Man2005,Isle of Man,2005,Primary energy production (petajoules),0
Isle of Man2010,Isle of Man,2010,Primary energy production (petajoules),0
Isle of Man2013,Isle of Man,2013,Primary energy production (petajoules),0
Isle of Man2014,Isle of Man,2014,Primary energy production (petajoules),0
Isle of Man2015,Isle of Man,2015,Primary energy production (petajoules),0
Isle of Man2005,Isle of Man,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0
Isle of Man2010,Isle of Man,2010,Net imports [Imports - Exports - Bunkers] (petajoules),0
Isle of Man2013,Isle of Man,2013,Net imports [Imports - Exports - Bunkers] (petajoules),0
Isle of Man2014,Isle of Man,2014,Net imports [Imports - Exports - Bunkers] (petajoules),0
Isle of Man2015,Isle of Man,2015,Net imports [Imports - Exports - Bunkers] (petajoules),0
Isle of Man2005,Isle of Man,2005,Total supply (petajoules),0
Isle of Man2010,Isle of Man,2010,Total supply (petajoules),0
Isle of Man2013,Isle of Man,2013,Total supply (petajoules),0
Isle of Man2014,Isle of Man,2014,Total supply (petajoules),0
Isle of Man2015,Isle of Man,2015,Total supply (petajoules),0
Isle of Man2005,Isle of Man,2005,Supply per capita (gigajoules),6
Isle of Man2010,Isle of Man,2010,Supply per capita (gigajoules),2
Isle of Man2013,Isle of Man,2013,Supply per capita (gigajoules),4
Isle of Man2014,Isle of Man,2014,Supply per capita (gigajoules),3
Isle of Man2015,Isle of Man,2015,Supply per capita (gigajoules),3
Israel1990,Israel,1990,Primary energy production (petajoules),18
Israel1995,Israel,1995,Primary energy production (petajoules),23
Israel2000,Israel,2000,Primary energy production (petajoules),27
Israel2005,Israel,2005,Primary energy production (petajoules),87
Israel2010,Israel,2010,Primary energy production (petajoules),162
Israel2013,Israel,2013,Primary energy production (petajoules),241
Israel2014,Israel,2014,Primary energy production (petajoules),283
Israel2015,Israel,2015,Primary energy production (petajoules),308
Israel1990,Israel,1990,Net imports [Imports - Exports - Bunkers] (petajoules),450
Israel1995,Israel,1995,Net imports [Imports - Exports - Bunkers] (petajoules),625
Israel2000,Israel,2000,Net imports [Imports - Exports - Bunkers] (petajoules),719
Israel2005,Israel,2005,Net imports [Imports - Exports - Bunkers] (petajoules),685
Israel2010,Israel,2010,Net imports [Imports - Exports - Bunkers] (petajoules),804
Israel2013,Israel,2013,Net imports [Imports - Exports - Bunkers] (petajoules),712
Israel2014,Israel,2014,Net imports [Imports - Exports - Bunkers] (petajoules),618
Israel2015,Israel,2015,Net imports [Imports - Exports - Bunkers] (petajoules),650
Israel1990,Israel,1990,Changes in stocks (petajoules),-12
Israel1995,Israel,1995,Changes in stocks (petajoules),-1
Israel2000,Israel,2000,Changes in stocks (petajoules),-17
Israel2005,Israel,2005,Changes in stocks (petajoules),5
Israel2010,Israel,2010,Changes in stocks (petajoules),0
Israel2013,Israel,2013,Changes in stocks (petajoules),21
Israel2014,Israel,2014,Changes in stocks (petajoules),10
Israel2015,Israel,2015,Changes in stocks (petajoules),2
Israel1990,Israel,1990,Total supply (petajoules),480
Israel1995,Israel,1995,Total supply (petajoules),649
Israel2000,Israel,2000,Total supply (petajoules),763
Israel2005,Israel,2005,Total supply (petajoules),767
Israel2010,Israel,2010,Total supply (petajoules),966
Israel2013,Israel,2013,Total supply (petajoules),931
Israel2014,Israel,2014,Total supply (petajoules),891
Israel2015,Israel,2015,Total supply (petajoules),955
Israel1990,Israel,1990,Supply per capita (gigajoules),107
Israel1995,Israel,1995,Supply per capita (gigajoules),122
Israel2000,Israel,2000,Supply per capita (gigajoules),127
Israel2005,Israel,2005,Supply per capita (gigajoules),116
Israel2010,Israel,2010,Supply per capita (gigajoules),130
Israel2013,Israel,2013,Supply per capita (gigajoules),119
Israel2014,Israel,2014,Supply per capita (gigajoules),112
Israel2015,Israel,2015,Supply per capita (gigajoules),118
Italy1990,Italy,1990,Primary energy production (petajoules),1072
Italy1995,Italy,1995,Primary energy production (petajoules),1235
Italy2000,Italy,2000,Primary energy production (petajoules),1183
Italy2005,Italy,2005,Primary energy production (petajoules),1269
Italy2010,Italy,2010,Primary energy production (petajoules),1384
Italy2013,Italy,2013,Primary energy production (petajoules),1542
Italy2014,Italy,2014,Primary energy production (petajoules),1539
Italy2015,Italy,2015,Primary energy production (petajoules),1509
Italy1990,Italy,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5375
Italy1995,Italy,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5481
Italy2000,Italy,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6239
Italy2005,Italy,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6509
Italy2010,Italy,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6009
Italy2013,Italy,2013,Net imports [Imports - Exports - Bunkers] (petajoules),4965
Italy2014,Italy,2014,Net imports [Imports - Exports - Bunkers] (petajoules),4628
Italy2015,Italy,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4888
Italy1990,Italy,1990,Changes in stocks (petajoules),80
Italy1995,Italy,1995,Changes in stocks (petajoules),3
Italy2000,Italy,2000,Changes in stocks (petajoules),190
Italy2005,Italy,2005,Changes in stocks (petajoules),-70
Italy2010,Italy,2010,Changes in stocks (petajoules),69
Italy2013,Italy,2013,Changes in stocks (petajoules),-23
Italy2014,Italy,2014,Changes in stocks (petajoules),-1
Italy2015,Italy,2015,Changes in stocks (petajoules),-5
Italy1990,Italy,1990,Total supply (petajoules),6366
Italy1995,Italy,1995,Total supply (petajoules),6714
Italy2000,Italy,2000,Total supply (petajoules),7230
Italy2005,Italy,2005,Total supply (petajoules),7847
Italy2010,Italy,2010,Total supply (petajoules),7324
Italy2013,Italy,2013,Total supply (petajoules),6530
Italy2014,Italy,2014,Total supply (petajoules),6168
Italy2015,Italy,2015,Total supply (petajoules),6402
Italy1990,Italy,1990,Supply per capita (gigajoules),112
Italy1995,Italy,1995,Supply per capita (gigajoules),118
Italy2000,Italy,2000,Supply per capita (gigajoules),127
Italy2005,Italy,2005,Supply per capita (gigajoules),134
Italy2010,Italy,2010,Supply per capita (gigajoules),123
Italy2013,Italy,2013,Supply per capita (gigajoules),109
Italy2014,Italy,2014,Supply per capita (gigajoules),103
Italy2015,Italy,2015,Supply per capita (gigajoules),107
Jamaica1990,Jamaica,1990,Primary energy production (petajoules),13
Jamaica1995,Jamaica,1995,Primary energy production (petajoules),9
Jamaica2000,Jamaica,2000,Primary energy production (petajoules),11
Jamaica2005,Jamaica,2005,Primary energy production (petajoules),15
Jamaica2010,Jamaica,2010,Primary energy production (petajoules),6
Jamaica2013,Jamaica,2013,Primary energy production (petajoules),7
Jamaica2014,Jamaica,2014,Primary energy production (petajoules),8
Jamaica2015,Jamaica,2015,Primary energy production (petajoules),8
Jamaica1990,Jamaica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),97
Jamaica1995,Jamaica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),118
Jamaica2000,Jamaica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),144
Jamaica2005,Jamaica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),139
Jamaica2010,Jamaica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),95
Jamaica2013,Jamaica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),104
Jamaica2014,Jamaica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),96
Jamaica2015,Jamaica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),101
Jamaica1990,Jamaica,1990,Changes in stocks (petajoules),-2
Jamaica1995,Jamaica,1995,Changes in stocks (petajoules),-3
Jamaica2000,Jamaica,2000,Changes in stocks (petajoules),7
Jamaica2005,Jamaica,2005,Changes in stocks (petajoules),1
Jamaica2010,Jamaica,2010,Changes in stocks (petajoules),-2
Jamaica2013,Jamaica,2013,Changes in stocks (petajoules),-1
Jamaica2014,Jamaica,2014,Changes in stocks (petajoules),1
Jamaica2015,Jamaica,2015,Changes in stocks (petajoules),1
Jamaica1990,Jamaica,1990,Total supply (petajoules),113
Jamaica1995,Jamaica,1995,Total supply (petajoules),130
Jamaica2000,Jamaica,2000,Total supply (petajoules),148
Jamaica2005,Jamaica,2005,Total supply (petajoules),151
Jamaica2010,Jamaica,2010,Total supply (petajoules),103
Jamaica2013,Jamaica,2013,Total supply (petajoules),113
Jamaica2014,Jamaica,2014,Total supply (petajoules),104
Jamaica2015,Jamaica,2015,Total supply (petajoules),108
Jamaica1990,Jamaica,1990,Supply per capita (gigajoules),48
Jamaica1995,Jamaica,1995,Supply per capita (gigajoules),53
Jamaica2000,Jamaica,2000,Supply per capita (gigajoules),57
Jamaica2005,Jamaica,2005,Supply per capita (gigajoules),56
Jamaica2010,Jamaica,2010,Supply per capita (gigajoules),38
Jamaica2013,Jamaica,2013,Supply per capita (gigajoules),41
Jamaica2014,Jamaica,2014,Supply per capita (gigajoules),37
Jamaica2015,Jamaica,2015,Supply per capita (gigajoules),39
Japan1990,Japan,1990,Primary energy production (petajoules),3121
Japan1995,Japan,1995,Primary energy production (petajoules),4088
Japan2000,Japan,2000,Primary energy production (petajoules),4384
Japan2005,Japan,2005,Primary energy production (petajoules),4175
Japan2010,Japan,2010,Primary energy production (petajoules),4118
Japan2013,Japan,2013,Primary energy production (petajoules),1161
Japan2014,Japan,2014,Primary energy production (petajoules),1099
Japan2015,Japan,2015,Primary energy production (petajoules),1269
Japan1990,Japan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15341
Japan1995,Japan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),16662
Japan2000,Japan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),17453
Japan2005,Japan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),17700
Japan2010,Japan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),16739
Japan2013,Japan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),17800
Japan2014,Japan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),17198
Japan2015,Japan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),16665
Japan1990,Japan,1990,Changes in stocks (petajoules),147
Japan1995,Japan,1995,Changes in stocks (petajoules),55
Japan2000,Japan,2000,Changes in stocks (petajoules),166
Japan2005,Japan,2005,Changes in stocks (petajoules),100
Japan2010,Japan,2010,Changes in stocks (petajoules),-6
Japan2013,Japan,2013,Changes in stocks (petajoules),-21
Japan2014,Japan,2014,Changes in stocks (petajoules),-121
Japan2015,Japan,2015,Changes in stocks (petajoules),-50
Japan1990,Japan,1990,Total supply (petajoules),18314
Japan1995,Japan,1995,Total supply (petajoules),20697
Japan2000,Japan,2000,Total supply (petajoules),21671
Japan2005,Japan,2005,Total supply (petajoules),21774
Japan2010,Japan,2010,Total supply (petajoules),20862
Japan2013,Japan,2013,Total supply (petajoules),18981
Japan2014,Japan,2014,Total supply (petajoules),18418
Japan2015,Japan,2015,Total supply (petajoules),17984
Japan1990,Japan,1990,Supply per capita (gigajoules),150
Japan1995,Japan,1995,Supply per capita (gigajoules),166
Japan2000,Japan,2000,Supply per capita (gigajoules),172
Japan2005,Japan,2005,Supply per capita (gigajoules),172
Japan2010,Japan,2010,Supply per capita (gigajoules),164
Japan2013,Japan,2013,Supply per capita (gigajoules),149
Japan2014,Japan,2014,Supply per capita (gigajoules),145
Japan2015,Japan,2015,Supply per capita (gigajoules),142
Jersey2005,Jersey,2005,Primary energy production (petajoules),0
Jersey2010,Jersey,2010,Primary energy production (petajoules),0
Jersey2013,Jersey,2013,Primary energy production (petajoules),1
Jersey2014,Jersey,2014,Primary energy production (petajoules),1
Jersey2015,Jersey,2015,Primary energy production (petajoules),1
Jersey1995,Jersey,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Jersey2000,Jersey,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Jersey2005,Jersey,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey2010,Jersey,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey2013,Jersey,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey2014,Jersey,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey2015,Jersey,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Jersey1995,Jersey,1995,Total supply (petajoules),1
Jersey2000,Jersey,2000,Total supply (petajoules),1
Jersey2005,Jersey,2005,Total supply (petajoules),3
Jersey2010,Jersey,2010,Total supply (petajoules),3
Jersey2013,Jersey,2013,Total supply (petajoules),3
Jersey2014,Jersey,2014,Total supply (petajoules),3
Jersey2015,Jersey,2015,Total supply (petajoules),3
Jersey1995,Jersey,1995,Supply per capita (gigajoules),9
Jersey2000,Jersey,2000,Supply per capita (gigajoules),17
Jersey2005,Jersey,2005,Supply per capita (gigajoules),28
Jersey2010,Jersey,2010,Supply per capita (gigajoules),28
Jersey2013,Jersey,2013,Supply per capita (gigajoules),27
Jersey2014,Jersey,2014,Supply per capita (gigajoules),27
Jersey2015,Jersey,2015,Supply per capita (gigajoules),29
Jordan1990,Jordan,1990,Primary energy production (petajoules),6
Jordan1995,Jordan,1995,Primary energy production (petajoules),10
Jordan2000,Jordan,2000,Primary energy production (petajoules),10
Jordan2005,Jordan,2005,Primary energy production (petajoules),10
Jordan2010,Jordan,2010,Primary energy production (petajoules),9
Jordan2013,Jordan,2013,Primary energy production (petajoules),7
Jordan2014,Jordan,2014,Primary energy production (petajoules),7
Jordan2015,Jordan,2015,Primary energy production (petajoules),8
Jordan1990,Jordan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),136
Jordan1995,Jordan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),160
Jordan2000,Jordan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),190
Jordan2005,Jordan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),285
Jordan2010,Jordan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300
Jordan2013,Jordan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),311
Jordan2014,Jordan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),349
Jordan2015,Jordan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),359
Jordan1990,Jordan,1990,Changes in stocks (petajoules),4
Jordan1995,Jordan,1995,Changes in stocks (petajoules),-2
Jordan2000,Jordan,2000,Changes in stocks (petajoules),-5
Jordan2005,Jordan,2005,Changes in stocks (petajoules),7
Jordan2010,Jordan,2010,Changes in stocks (petajoules),5
Jordan2013,Jordan,2013,Changes in stocks (petajoules),-10
Jordan2014,Jordan,2014,Changes in stocks (petajoules),5
Jordan2015,Jordan,2015,Changes in stocks (petajoules),5
Jordan1990,Jordan,1990,Total supply (petajoules),138
Jordan1995,Jordan,1995,Total supply (petajoules),172
Jordan2000,Jordan,2000,Total supply (petajoules),205
Jordan2005,Jordan,2005,Total supply (petajoules),289
Jordan2010,Jordan,2010,Total supply (petajoules),303
Jordan2013,Jordan,2013,Total supply (petajoules),328
Jordan2014,Jordan,2014,Total supply (petajoules),352
Jordan2015,Jordan,2015,Total supply (petajoules),362
Jordan1990,Jordan,1990,Supply per capita (gigajoules),40
Jordan1995,Jordan,1995,Supply per capita (gigajoules),39
Jordan2000,Jordan,2000,Supply per capita (gigajoules),42
Jordan2005,Jordan,2005,Supply per capita (gigajoules),54
